"X_uid_","id","data","endereco","bairro","fonte","nome","url","dom_geo","cluster","x","y","classe_potencial_construtivo","potencial_construtivo","renda","dist_via_principal","dist_via_secundaria","dist_polo_padrao","dist_polo_valoriz","dist_polo_desvaloriz","area","precounit","preco","geom","z"
94,13697825,2022-07-15,"Rua Luiz Joao Schinkein - Lot. Prospero Cadore","LIMEIRA BAIXA","internet","Zucco","https://www.imobiliariazucco.com.br/imovel/terreno-a-venda-478-m-por-180000-limeira-brusque-sc/TE0235-ZUCC?from=sale","Dom_Geo_03",4,711517.2,7002437.09,"Baixo Potencial",0,1208.76,2139.56,2257.48,1,2682.9,135.13,478,376.57,180000,c(711517.195192515, 7002437.08824117),376.57
96,13668598,2022-07-12,"Rua Florencia","LIMEIRA BAIXA","internet","planifik",NA,"Dom_Geo_03",4,712180.83,7002636.55,"Baixo Potencial",0,1226.75,2516.94,2680.06,1,2562.93,807.78,364,384.62,140000,c(712180.833092403, 7002636.54641868),384.62
97,13735296,2022-07-26,"Rua Oito de outubro","PLANALTO","internet","Imovel WEB","https://www.imovelweb.com.br/propriedades/terreno-no-bairro-planalto-proximo-a-empresa-fischer-2966630122.html","Dom_Geo_03",1,711447.63,7005794.59,"Baixo Potencial",0,1375.25,406.74,393.34,1,269.51,781.75,336,386.9,130000,c(711447.632392143, 7005794.59144368),386.9
98,13677276,2022-07-12,"Rua Ivo Szpoganicz","SOUZA CRUZ","internet","planifik",NA,"Dom_Geo_03",3,704785.14,6996823.25,"Baixo Potencial",0,1256.02,3106.57,928.91,1,2117.48,749.42,540.77,388.34,210000,c(704785.141326581, 6996823.24893089),388.34
99,13677284,2022-07-12,"Rua Doutor Ivo Szpoganicz","SOUZA CRUZ","internet","planifik",NA,"Dom_Geo_03",3,704790.89,6996835.8,"Baixo Potencial",0,1256.57,3094.88,925.76,1,2104.28,736.86,540.77,388.34,210000,c(704790.888101944, 6996835.79694752),388.34
102,13669841,2022-07-12,"Rua A - Prospero Cadore","LIMEIRA BAIXA","internet","planifik",NA,"Dom_Geo_03",4,712214.7,7002567.08,"Baixo Potencial",0,1220.93,2584.24,2744.37,1,2632.5,833.19,364,398.35,145000,c(712214.701454301, 7002567.08255346),398.35
104,13661179,2022-07-12,"Rua henrique Horner Sobrinho","SAO PEDRO","internet","Julio imoveis",NA,"Dom_Geo_01",2,705503.44,7004086.47,"Baixo Potencial",0,1119.77,1968.34,79.22,158.06,1349.52,284.94,900,400,360000,c(705503.436437695, 7004086.47014721),400
105,13697831,2022-07-15,"Lot. Independencia","AGUAS CLARAS","internet","Zucco","https://www.imobiliariazucco.com.br/imovel/terreno-de-360-m-aguas-claras-brusque-a-venda-por-145000/TE0241-ZUCC?from=sale","Dom_Geo_03",3,706827.01,6994496.92,"Baixo Potencial",0,1295.16,840.5,933.25,1,1509.76,1016.17,360,402.78,145000,c(706827.012519104, 6994496.92413719),402.78
106,13670818,2022-07-12,"Rua G - Lot. Independencia","AGUAS CLARAS","internet","planifik",NA,"Dom_Geo_03",3,706685,6994644.92,"Baixo Potencial",0,1301.86,1023.2,774.97,1,1614.46,1053.9,360,402.78,145000,c(706684.995488451, 6994644.91802489),402.78
107,13697880,2022-07-15,"Rua uniao","LIMEIRA BAIXA","internet","CHF","https://www.chfimoveis.com.br/imovel/terreno-no-bairro-limeira-brusque-venda-RS195000/2106","Dom_Geo_03",4,712777.72,7001888.23,"Baixo Potencial",0,1191.41,3442.65,3587.3,1,3363.1,1411.02,483,403.73,195000,c(712777.724089531, 7001888.22942884),403.73
