id,ct_bciinsc,inscricao,potencial_construtivo,renda,dist_via_principal,dist_via_secundaria,dist_polo_padrao,dist_polo_valoriz,dist_polo_desvaloriz,area,predicao
10206374,01.10.006.0918,1100060918,0,1172.08,484.54,715.74,484.07,1239.07,338.44,400,481.7
10206375,01.10.006.0468,1100060468,0,1175.99,510.68,713.27,506.17,1241.52,335.55,400,477.9
10206376,01.10.006.0467,1100060467,0,1174.45,513.43,722.76,494.13,1250.27,344.93,400,476.02
10206377,01.10.006.0466,1100060466,0,1172.89,516.08,732.59,482.33,1259.25,354.72,400,487.67
10206378,01.10.006.0464,1100060464,0,1171.33,522.9,753.29,458.33,1278.34,375.51,400,453.53
10206379,01.10.006.0465,1100060465,0,1172.89,519.19,742.7,470.2,1268.54,364.85,400,483.27
10206380,01.10.006.0463,1100060463,0,1171.33,525.86,763.08,446.71,1287.29,385.43,400,446.84
10206381,01.10.006.0378,1100060378,0,1167.41,580.74,821.04,392.6,1346.73,443.17,400,432.72
10206382,01.10.006.0366,1100060366,0,1162.49,595.39,844.59,296.32,1369.4,466.76,400,432.4
10206383,01.10.006.0388,1100060388,0,1163.72,577.04,849.74,354.58,1370.05,472.95,400,436.4
10206384,01.10.006.0376,1100060376,0,1225.68,386.37,562.26,917.27,996.11,353.87,400,597.04
10206385,01.10.006.0389,1100060389,0,1195.13,296.42,397.85,369.92,866.31,189.07,400,554.42
10206386,01.10.006.9399,1100069399,0,1180.12,823.53,900.95,203.39,1436.89,567.55,400,416.0
10206387,01.10.006.0060,1100060060,0,1177.65,779.86,865.35,233.53,1402.28,526.29,400,418.38
10206388,01.10.006.0413,1100060413,0,1199.47,279.76,363.27,554.28,837.32,154.91,400,536.19
10206389,01.10.006.0119,1100060119,0,1174.31,736.16,829.92,223.4,1367.51,485.3,400,425.02
10206390,01.10.006.0471,1100060471,0,1177.51,502.52,683.41,542.25,1213.93,306.55,400,486.71
10206391,01.10.006.0470,1100060470,0,1177.51,505.02,693.0,530.22,1222.79,315.76,400,480.54
10206393,01.11.009.5490,1110095490,0,1233.36,188.02,418.35,740.0,825.02,210.81,400,595.5
10206394,01.11.009.5455,1110095455,0,1256.84,374.62,678.63,673.24,868.56,565.43,400,607.56
10206395,01.11.009.5470,1110095470,0,1237.24,172.13,462.73,722.44,798.08,259.76,400,614.19
10206396,01.10.006.0276,1100060276,0,1229.61,409.21,628.44,865.11,996.92,416.84,400,590.27
10206397,01.10.006.0374,1100060374,0,1237.04,453.32,710.99,771.12,1003.82,499.76,400,600.95
10206398,01.11.009.7013,1110097013,0,1253.22,386.61,698.91,689.6,884.93,561.67,400,594.88
10206399,01.10.006.0308,1100060308,0,1232.5,420.51,650.13,835.28,998.05,438.61,400,586.53
10206400,01.10.006.0338,1100060338,0,1232.67,436.76,680.8,805.53,1000.46,469.28,400,595.29
10206401,01.10.006.0360,1100060360,0,1227.02,392.84,596.89,886.33,996.15,385.19,400,593.49
10206402,01.11.009.5360,1110095360,0,1249.77,210.59,593.13,790.51,721.71,501.71,400,618.04
10206403,01.11.009.4514,1110094514,0,1224.43,9.0,415.04,1015.85,691.92,273.41,400,751.4
10206404,01.11.009.5740,1110095740,0,1243.15,265.36,661.08,806.44,807.44,453.98,400,600.92
10206405,01.11.009.5420,1110095420,0,1236.24,165.67,520.47,803.93,776.95,322.8,400,610.24
10206406,01.11.009.4432,1110094432,0,1220.65,9.66,245.86,959.44,584.67,149.46,400,696.05
10206407,01.11.008.2714,1110082714,0,1226.73,8.65,370.09,944.77,638.74,331.32,400,754.14
