"id","data","endereco","bairro","fonte","nome","url","dom_geo","cluster","x","y","classe_potencial_construtivo","potencial_construtivo","renda","dist_via_principal","dist_via_secundaria","dist_polo_padrao","dist_polo_valoriz","dist_polo_desvaloriz","area","precounit","preco","wkt_the_geom"
13724490,"2022-07-22","Servidão Hoffmann","GUARANI","internet","Jose Luis Ambrosi","https://www.joseluisambrosi.com.br/detalhes_imovel/2780/terreno-em-condominio-fechado-com-linda-vista---alto-padrao-guarani-brusque-terreno-em-condominio","Dom_Geo_01",2,703233.78,7001412.53,"Baixo Potencial",0,1366.64,3314.17,247.12,734.51,1986.62,2411.59,750,733.33,550000,"POINT(703233.7759090414 7001412.531786181)"
14320349,"2022-09-02","Rua Francisco Pruner Sobrinho","STEFFEN","internet","Sucesso","https://www.sucessoimoveis.com/imovel/2126/lote-a-venda-steffen--brusquesc","Dom_Geo_01",2,707041.35,7003280.82,"Baixo Potencial",0,1506.73,317.59,47.52,314.03,783.82,1045.64,337.5,740.74,250000,"POINT(707041.348767094 7003280.823878895)"
13677326,"2022-07-13","Cond. El Shaday","DOM JOAQUIM","internet","Julio imoveis",NULL,"Dom_Geo_03",0,702493.20,6995302.14,"Baixo Potencial",0,1454.83,5215.90,687.50,1,1105.49,855.42,595,756.30,450000,"POINT(702493.204508205 6995302.138030721)"
13647415,"2022-07-12","Rua DJ-012","DOM JOAQUIM","internet","Julio imoveis",NULL,"Dom_Geo_03",0,703137.05,6994877.37,"Baixo Potencial",0,1354.7,4492.12,1369.87,55.57,1662.05,1017.68,427.5,760.23,325000,"POINT(703137.0458238784 6994877.370552389)"
13697822,"2022-07-15","Lot. Sao Pedro","STEFFEN","internet","Zucco","https://www.imobiliariazucco.com.br/imovel/terreno-a-venda-300-m-por-230000-sao-pedro-brusque-sc/TE0126-ZUCC?from=sale","Dom_Geo_01",2,706820.92,7003603.40,"Baixo Potencial",0,1420.52,705.40,362.55,1,850.52,920.40,300,766.67,230000,"POINT(706820.9200841556 7003603.400572531)"
13697438,"2022-07-14","Cond. Reserva Club","AZAMBUJA","internet","Amo imoveis",NULL,"Dom_Geo_03",3,706066.38,6997315.75,"Baixo Potencial",0,1286.26,1787.37,174.13,1,1622.05,889.34,542.87,771.82,419000,"POINT(706066.3807860684 6997315.753155692)"
13750628,"2022-07-27","Rua Francisco Sassi - esquina","JARDIM MALUCHE","internet","Sucesso","https://www.sucessoimoveis.com/imovel/1884/terreno--jardim-maluche","Dom_Geo_02",2,704722.04,6999984.53,"Baixo Potencial",0,2120.05,1898.80,472.14,1,898.28,1774.22,1489,772.33,1150000,"POINT(704722.035494521 6999984.527563084)"
13750699,"2022-07-27","Rua Clementina Sgrott","SAO PEDRO","internet","Zap","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-sao-luiz-brusque-sc-360m2-id-2571974899/","Dom_Geo_01",2,706221.54,7002091.98,"Baixo Potencial",0,2491.6,519.35,574.33,340.16,201.33,405.37,360,774.33,278760,"POINT(706221.5397978476 7002091.976671538)"
13697847,"2022-07-15","Cond. El Shaday","DOM JOAQUIM","internet","CHF","https://www.chfimoveis.com.br/imovel/terreno-no-bairro-dom-joaquim-brusque-venda-RS464000/2735","Dom_Geo_03",0,702458.53,6995254.07,"Baixo Potencial",0,1457.01,5237.53,725.29,1,1153.94,798.35,595,779.83,464000,"POINT(702458.5263516322 6995254.069867527)"
13661181,"2022-07-12","Lot. San Genaro","PRIMEIRO DE MAIO","internet","Julio imoveis",NULL,"Dom_Geo_03",2,707746.41,6998780.48,"Baixo Potencial",0,1447.38,408.53,1492.17,358.15,1,1950.61,476.18,787.52,375000,"POINT(707746.4134310916 6998780.476425027)"
13706238,"2022-07-18","Lot. Ditmar Pavesi","LIMEIRA BAIXA","internet","GOLDINVEST","https://www.goldinvestimoveis.com.br/detalhes_imovel/4896/terreno-no-bairro-limeira-baixa-brusque-venda-RS240000","Dom_Geo_03",4,712777.91,7002301.10,"Baixo Potencial",0,1206.19,3199.91,3363.85,1,2957.51,1399.01,304.75,787.53,240000,"POINT(712777.9100683922 7002301.103324733)"
13697809,"2022-07-15","Lot. Jardim das hortencias","SAO JOAO","internet","Zucco","https://www.imobiliariazucco.com.br/imovel/terreno-de-292-m-dom-joaquim-brusque-a-venda-por-230000/TE0261-ZUCC?from=sale","Dom_Geo_03",0,701155.98,6992641.81,"Baixo Potencial",0,1147.37,6503.25,2519.23,618.71,1,329.69,292,787.67,230000,"POINT(701155.9802436638 6992641.810316319)"
